Generation      Max Fitness     Average Fitness 
0 		37.50 		18.35 		
1 		40.00 		19.88 		
2 		41.67 		21.21 		
3 		41.67 		22.42 		
4 		41.67 		23.54 		
5 		43.33 		24.58 		
6 		50.00 		25.61 		
7 		47.50 		26.58 		
8 		50.83 		27.50 		
9 		50.83 		28.45 		
10 		46.67 		29.36 		
11 		50.00 		30.22 		
12 		50.00 		31.02 		
13 		52.50 		31.80 		
14 		52.50 		32.54 		
15 		52.50 		33.26 		
16 		55.00 		33.98 		
17 		54.17 		34.69 		
18 		55.00 		35.30 		
19 		57.50 		35.95 		
20 		55.00 		36.51 		
21 		57.50 		37.06 		
22 		56.67 		37.60 		
